siteID,plotID,individualID,scientificName,taxonID,status,reason
PUUM,PUUM_034,NEON.PLA.D20.PUUM.00983,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00808,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03481,Cibotium menziesii Hook.,CIME8,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_034,NEON.PLA.D20.PUUM.01575,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.02939,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_039,NEON.PLA.D20.PUUM.00859,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_036,NEON.PLA.D20.PUUM.01559,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03266,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00826,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_007,NEON.PLA.D20.PUUM.03248,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_014,NEON.PLA.D20.PUUM.02225,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00729,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_019,NEON.PLA.D20.PUUM.03214,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_017,NEON.PLA.D20.PUUM.03183,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00749,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_034,NEON.PLA.D20.PUUM.00958,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_017,NEON.PLA.D20.PUUM.03130,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_046,NEON.PLA.D20.PUUM.00523,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_036,NEON.PLA.D20.PUUM.00398,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_019,NEON.PLA.D20.PUUM.02842,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_007,NEON.PLA.D20.PUUM.03233,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_034,NEON.PLA.D20.PUUM.01568,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_020,NEON.PLA.D20.PUUM.02427,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_040,NEON.PLA.D20.PUUM.08024,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_031,NEON.PLA.D20.PUUM.08212,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_031,NEON.PLA.D20.PUUM.08412,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_036,NEON.PLA.D20.PUUM.01551,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_006,NEON.PLA.D20.PUUM.02672,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_034,NEON.PLA.D20.PUUM.01585,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_031,NEON.PLA.D20.PUUM.00353,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_010,NEON.PLA.D20.PUUM.08362,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_016,NEON.PLA.D20.PUUM.03336,Cibotium menziesii Hook.,CIME8,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_014,NEON.PLA.D20.PUUM.02216,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_006,NEON.PLA.D20.PUUM.02722,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_019,NEON.PLA.D20.PUUM.03420,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
